Section,Title,Authors,Year,Cites,Source_File
4.2,Robotically 3D Printed Formwork for Concrete Structures,JJ Burger,2023,0,group C.csv
4.2,Pioneering Large-Scale Construction through 3D Printing: A Critical Review,"M Dungrani, A Hashemi, D Do-Rosario-Benros, F Wirz",2024,0,group C.csv
4.2,Research on 3D Printed Section of Concrete Based on Robot Arm and Structural Design of Sprinkler Head,"C Wu, Y Lu, J Tian, X Zhu, Y Wang, H An",2024,0,group C.csv
4.2,Design of Extrusion-Based Concrete Printer System for Expeditionary Environments,"G Peterson, WR Norris…",2025,0,group C.csv
4.2,Cable suspended parallel robotic system for 3D structural printing,A Ahmed,2022,0,group C.csv
4.2,A Novel Concrete Placing Path Generation Method Based on Error Zone with Concrete Placing Robot,"S Fan, W Li, R Xie",2023,0,group C.csv
4.2,Robot-Based 3d Printing: Digital Twin-Driven Motion Planning Platform,"Y Wang, C Zhao, W Liu, S Li",2024,0,group C.csv
4.2,A Novel Mobile 3D Printing Robot Incorporating a Planar Five-bar Mechanism,"H Liu, Y Zhang, R Lin, D Li, Y Li",2023,0,group C.csv
4.2,Stress-Informed Non-Planar Slicing for 3D Concrete Printing,"G Di Marco, YAU Ho Man…",2025,0,group C.csv
4.2,"BIM-Driven Robotics in Construction: A Systematic Review of Integration Methods, Applications, and Future Directions","O Odugu, F Ghafari, E Shourangiz…",2025,0,group C.csv
4.2,Defect Mitigation for Robot Arm-based Additive Manufacturing Utilizing Intelligent Control and IOT,"M Ali, B Gassen, S Liu",2025,0,group C.csv
4.2,Estimate of Material Deformation by Experimentation in the Context of Additive Printing of Concrete on a Large Scale,"S Mercy, TE Devi, SR Muniyasamy…",2026,0,group C.csv
4.2,Process framework for transferring BIM data to robot operations in construction,A Badre,2020,0,group C.csv
4.2,Process simulation for enhancing self-supporting printability in 3D curvature-oriented clay form printing with an additional-axis base,"X Lu, Y Ikeda, A Khajehee, K Ito",2023,0,group C.csv
4.2,Recent Advancements of Applied Robotics in Construction Project Management: A Life Cycle Perspective,"Y Wang, X Hou, T Chen, B Xiao",2025,0,group C.csv
4.2,Stress Analysis in Multi-head Large Scale Additive Manufacturing,"S Ghungrad, A Haghighi",2024,0,group C.csv
4.2,Green design and manufacturing processes based on additive manufacturing: A review,"L Lu, Y Yang, K Sheng, X Du, Y Song, Z Mi",2025,0,group C.csv
4.2,Tornado-Resilient 3D-Printed Housing: A US Case Study Validating Cost-Effective Construction with Conventional Mortar,S Joseph,2025,0,group C.csv
4.2,Data-driven parameter calibration in additive manufacturing for construction: an introduction to learning by printing,"L Bettermann, M Slepicka, S Esser, A Borrmann",2025,0,group C.csv
4.2,Integrating CAD and extended robotics for masonry restoration: a scalable workflow for historic and heritage buildings (HHBs),"B Yu, Y Gong, J Luo, A Fingrut",2025,0,group C.csv
4.2,Evaluation of an Autonomous Driving Dumper using a Robot Evaluation Framework,"T Bernhard, YJ Huang, A Fischer…",2025,0,group C.csv
4.2,A path towards the off-site automated fabrication of segmented concrete shells for building slabs,"SA Behnejad, GAR Parke, OA Samavati",2021,0,group C.csv
4.2,Additive Manufacturing With a Climbing Mobile Platform–Design &Implementation,EA Nastarowicz,2024,0,group C.csv
4.2,Dynamic grasping system based on visual algorithm and robot arm collaboration in logistics production line,"B He, B Chen",2026,0,group C.csv
4.2,DEVELOPMENT OF AN INDUSTRIAL AUTOMATIC ROBOT CELL WITH AN ELECTROMAGNETIC INTERCHANGEABLE TOOL SYSTEM,"AM Ivan, CA Cristoiu…",2024,0,group C.csv
4.2,A Model Predictive Control Framework to Enhance Safety and Quality in Mobile Additive Manufacturing Systems,"Y Li, JA Robbins, G Manogharan, HC Pangborn…",2025,0,group C.csv
4.2,Scaling Exoskeleton Prototype for Gait Analysis,"J Mendoza-Martínez, F Jiménez-Ponce…",2025,0,group C.csv
4.2,Trajectory Tracking of Cable-Driven Parallel Robot via a Hybrid Structure of Type-2 Fuzzy Controllers and Sliding Mode Control Under Disturbances and Pulley …,"DH Nguyen, NT Bui",2025,0,group C.csv
4.2,Data-Driven Parameter Calibration in Additive Manufacturing for Construction,"L Bettermann, M Slepicka, S Esser…",2025,0,group C.csv
4.2,Integrated design and fabrication of additive manufacturing-based shading components with daylight performance optimization,"G Yan, Y Jia, M Zhen, Q Dong",2025,0,group C.csv
4.2,Computational Geometry Generation of Concept Design Driven by Manufacturability for Layer-Based Direct Deposition AM,"F Schito, K Dörfler, P D'ACUNTO…",2025,0,group C.csv
4.2,Automated Screw-Fastened Assembly of Layered Timber Arch-Shells: Construction-Phase LCA and Performance Validation,"Y Li, K Bi, H Fukuda",2025,0,group C.csv
4.2,"David Böhler¹, Inka Mai¹, Niklas Freund¹, Lukas Lachmayer2","A Raatz, D Lowke¹",2022,0,group C.csv
4.2,Design and Parameter Identification of Wire and Arc Additively Manufactured (WAAM) Steel Bars for Use,"J Müller, M Grabowski, C Müller, J Hensel…",2021,0,group C.csv
4.2,Regulation Strategies for Extruded Filament in Material Extrusion Additive Manufacturing: A Review and Perspective,"L Sun, W Cai, Y Zhang, Y Zhang…",2025,0,group C.csv
4.2,Display guided high-accuracy robotic navigation and motion control system and methods,"C Feng, X Xu",2025,0,group C.csv
4.2,Adaptive Frameworks for Robotic Non-Planar Additive Manufacturing,BAMA Darweesh,2024,0,group C.csv
4.2,Facile Manufacturing of Capacitive Flow Meters Using Indirect Three-Dimensional Printing Technology for Rectifying Airflows,"S Shin, G Park, WY Kim",2021,0,group C.csv
4.2,Digital Innovation Roadmap for Construction Industry: Bridging the Gap for Future,N Zahin,2024,0,group C.csv
4.2,Are Friday Announcements Special? Limited Investor Attention and Unanticipated Disclosure,L Orton,2022,0,group C.csv
4.2,"Visions of an Emancipated Society: The Oberlin Mission, Black Activists, and Transnational Education, 1835-1875",S Mills,2022,0,group C.csv
4.2,Surface Chemistry of Transition Metal Nanoparticles,VS Tanygin,2022,0,group C.csv
5.1,"A review on machine learning in 3D printing: applications, potential, and challenges","GD Goh, SL Sing, WY Yeong",2021,737,group A.csv
5.1,Rapid surface defect identification for additive manufacturing with in-situ point cloud processing and machine learning,"L Chen, X Yao, P Xu, SK Moon, G Bi",2021,203,group C.csv
5.1,Orbital overlapping through induction bonding overcomes the intrinsic delamination of 3D-printed cementitious binders,"E Hosseini, M Zakertabrizi, A Habibnejad Korayem…",2020,53,group B.csv
5.1,Automated flow rate control of extrusion for 3D concrete printing incorporating rheological parameters,"O Ahi, Ö Ertunç, ZB Bundur, Ö Bebek",2024,22,group C.csv
5.1,Proposal of a decoupled structure of fuzzy-pid controllers applied to the position control in a planar cdpr,"M Carpio, R Saltaren, J Viola, C Calderon, J Guerra",2021,21,group C.csv
5.1,Non-planar slicing for filled free-form geometries in robot-based FDM,"F Insero, V Furlan, H Giberti",2025,16,group C.csv
5.1,Fabrication Information Modeling for Closed-Loop Design and Quality Improvement in Additive Manufacturing for construction,"M Slepicka, A Borrmann",2024,12,group C.csv
5.1,Enhancing precision in 3D printing for highly functional printing with high-speed vision,"T Wang, Y Yamakawa",2024,4,group A.csv
5.1,A multi-material extrusion nozzle for functionally graded concrete printing,"F Craveiro, H Bártolo, JP Duarte…",2020,3,group B.csv
5.1,Process and evaluation of automated robotic fabrication system for in-situ structure confinement,"BBM Kumar, YC Hsueh, Z Xin, D Luo",2021,3,group C.csv
5.1,Digital quality assurance system for additive manufacturing based on machine learning methods and blockchain technology,E Westphal,2023,1,group A.csv
5.1,Rapid composite formwork: An automated and customizable process for freeform concrete through computational design and robotic fabrication,"GE Gardner, K Forward, K Tse, K Sharma",2020,1,group B.csv
5.1,Novel additive lamination manufacturing system for rapid fabrication of large-scale reinforced structural members,"Z Xin, G Zhu, YC Hsueh, D Luo",2024,1,group C.csv
5.1,Hierarchical Discrete Lattice Assembly: An Approach for the Digital Fabrication of Scalable Macroscale Structures,"M Smith, P Richard, AH Kyaw…",2025,1,group C.csv
5.1,Integration of laser profiler feedback into fim-based additive manufacturing in construction,S Espinosa,2023,1,group C.csv
5.1,Accelerating the Design of Sustainable Concrete With CDW Through Adaptive Experiments and Machine Learning for Conventional and Additive …,TT Baah,2025,0,group A.csv
5.1,Feedback Control-Based 3d Printing Product Quality,L Li,2024,0,group A.csv
5.1,Buildability analysis in 3D concrete printing using computer vision and automated annotation,"YC Kim, TS Han",2025,0,group A.csv
5.1,Integrating Monitoring Solutions in 3D Printing Process for Enhanced Optimization,"M Pollák, M Kočiško, J Dobránsky",2025,0,group A.csv
5.1,"Quality-centric digital twins in additive manufacturing: a review of the state-of-the-art, challenges, and future directions","MV Ehteshamfar, X Xu, S Yang",2026,0,group A.csv
5.1,Innovative approaches to recycling and waste reduction in 3D printing,"V Phutela, S Juneja",2025,0,group A.csv
5.1,Application of artificial intelligence technology in 3D concrete printing quality inspection and control: a state-of-the-art review,"Y Ding, Y Liu, B Yang, J Liu, P Gao…",2025,0,group B.csv
5.1,I acknowledge that copyright of any published works contained within this thesis resides with the copyright holder (s) of those works. I gave permission for the …,YL Tee,2022,0,group B.csv
5.1,Research progress and trends of intelligent technology construction in large infrastructures: a CiteSpace-based visualization and analysis,"Z Liu, W Li, Q Zhang, M Zhu, Z Liu",2025,0,group C.csv
5.1,Contemporary study on 3D printing and its advancement for industrial applications,"P Dinesh Kumar, S Kavitha, M Adam Khan…",2025,0,group C.csv
5.2,"3D concrete printing: a systematic review of rheology, mix designs, mechanical, microstructural, and durability characteristics","AU Rehman, JH Kim",2021,312,group B.csv
5.2,"3D-printed concrete: Applications, performance, and challenges","A Siddika, MAA Mamun, W Ferdous…",2020,259,group B.csv
5.2,Influence of process parameters on the interlayer bond strength of concrete elements additive manufactured by Shotcrete 3D Printing (SC3DP),"H Kloft, HW Krauss, N Hack, E Herrmann…",2020,234,group B.csv
5.2,The effect of accelerator dosage on fresh concrete properties and on interlayer strength in shotcrete 3D printing,"I Dressler, N Freund, D Lowke",2020,176,group C.csv
5.2,Shotcrete 3D printing technology for the fabrication of slender fully reinforced freeform concrete elements with high surface quality: a real-scale demonstrator,"N Hack, H Kloft",2020,132,group B.csv
5.2,"Shotcrete based 3D concrete printing: State of art, challenges, and opportunities","F Heidarnezhad, Q Zhang",2022,100,group B.csv
5.2,A Systematic Literature Review on Additive Manufacturing in the Context of Circular Economy.,"S Ponis, E Aretoulaki, TN Maroutas…",2021,96,group B.csv
5.2,"Large-scale automated additive construction: overview, robotic solutions, sustainability, and future prospect","MR Khosravani, A Haghighi",2022,69,group B.csv
5.2,The viability and simplicity of 3D-Printed construction: A military case study,"J Jagoda, B Diggs-McGee, M Kreiger, S Schuldt",2020,63,group B.csv
5.2,Teams of robots in additive manufacturing: a review,"A Alhijaily, ZM Kilic, ANP Bartolo",2023,63,group B.csv
5.2,Framework of 3D concrete printing potential and challenges,"AK Al-Tamimi, HH Alqamish, A Khaldoune, H Alhaidary…",2023,61,group B.csv
5.2,A compendious rheo-mechanical test for printability assessment of 3D printable concrete,"S Cho, J Kruger, F Bester, M van den Heever…",2020,51,group B.csv
5.2,Development of a robot-based multi-directional dynamic fiber winding process for additive manufacturing using shotcrete 3D printing,"N Hack, M Bahar, C Hühne, W Lopez, S Gantner…",2021,46,group B.csv
5.2,Integrated numerical modelling and deep learning for multi-layer cube deposition planning in laser aided additive manufacturing,"K Ren, Y Chew, N Liu, YF Zhang…",2021,40,group B.csv
5.2,Modelling the influence of material and process parameters on Shotcrete 3D Printed strands-cross-section adjustment for automatic robotic manufacturing,"L Lachmayer, D Böhler, N Freund, I Mai…",2023,35,group C.csv
5.2,Large particle 3D concrete printing—a green and viable solution,"I Mai, L Brohmann, N Freund, S Gantner, H Kloft…",2021,33,group B.csv
5.2,Mechanical performance of recycled 3D printed sustainable polymer-based composites: A literature review,"IF Kyriakidis, N Kladovasilakis, EM Pechlivani…",2024,32,group B.csv
5.2,Latest trend in building construction: Three-dimensional printing,"A Babbar, A Rai, A Sharma",2021,29,group B.csv
5.2,The effects of nozzle diameter and length on the resulting strand properties for shotcrete 3D printing,"M David, N Freund, K Dröder, D Lowke",2023,27,group B.csv
5.2,"Bibliographic analysis on 3D printing in the building and construction industry: Printing systems, material properties, challenges, and future trends","Q Shahzad, M Umair, S Waqar",2022,26,group B.csv
5.2,Understanding the mechanism of abrasive-based finishing processes using mathematical modeling and numerical simulation,"AW Hashmi, HS Mali, A Meena, KK Saxena…",2022,26,group B.csv
5.2,Adaptive toolpath: enhanced design and process control for robotic 3DCP,"L Breseghello, R Naboni",2021,24,group B.csv
5.2,Robotized additive manufacturing of funicular architectural geometries based on building materials,"O Lakhal, T Chettibi, A Belarouci…",2020,24,group B.csv
5.2,Sustainable approaches for the additive manufacturing of ceramic materials,"A Villa, PK Gianchandani, F Baino",2024,24,group B.csv
5.2,Control of strand properties produced with shotcrete 3D printing by accelerator dosage and process parameters,"I Dressler, N Freund, D Lowke",2020,23,group C.csv
5.2,Automated post-processing of 3D-printed parts: artificial powdering for deep classification and localisation,"JXY Lim, QC Pham",2021,22,group B.csv
5.2,Advancements in surface finish for additive manufacturing of metal parts: a comprehensive review of plasma electrolytic polishing (PEP),"J Valentinčič, JE Koroth, H Zeidler",2024,22,group B.csv
5.2,"Adoption of three-dimensional printing technology in public housing in Singapore: Drivers, challenges, and strategies","D Won, BG Hwang, S Chi, JL Kor",2022,22,group B.csv
5.2,Robotic plaster spraying: Crafting surfaces with adaptive thin-layer printing,"S Ercan Jenny, E Lloret-Fritschi, D Jenny…",2022,21,group B.csv
5.2,Automated force-flow-oriented reinforcement integration for Shotcrete 3D Printing,"R Doerrie, N Freund, E Herrmann, A Baghdadi…",2023,21,group C.csv
5.2,Robotic knitcrete: computational design and fabrication of a pedestrian bridge using robotic shotcrete on a 3D-Knitted formwork,"P Rennen, S Gantner, G Dielemans, L Bleker…",2023,20,group B.csv
5.2,Challenges and issues in manufacturing of components using polymer-based selective laser sintering (SLS): a review,"S Singh, D Kaur, M Singh, R Balu, A Mehta…",2024,19,group B.csv
5.2,A lean-based production approach for shotcrete 3D printed concrete components,"G Placzek, L Brohmann, K Mawas…",2021,18,group B.csv
5.2,AutoCIS: an automated construction inspection system for quality inspection of buildings,"SA Prieto, N Giakoumidis…",2021,17,group B.csv
5.2,Additive manufacturing for the circular built environment: Towards circular construction with earth-based materials,"K Chadha, A Dubor, E Cabay, Y Tayoun…",2024,17,group B.csv
5.2,An analysis of the viability of 3D-printed construction as an alternative to conventional construction methods in the expeditionary environment,JA Jagoda,2020,17,group B.csv
5.2,3D printing technology for rapid response to climate change: Challenges and emergency needs,"SA Khan, A Al Rashid, J Muhammad…",2024,16,group B.csv
5.2,Predicting the rheological properties of super-plasticized concrete using modeling techniques,"MN Amin, A Ahmad, K Khan, W Ahmad, S Ehsan…",2022,16,group B.csv
5.2,High-resolution additive formwork for building-scale concrete panels,"R Naboni, L Breseghello",2020,15,group B.csv
5.2,"Review on the developments of structure, construction automation, and monitoring of intelligent construction","K Liu, Q Meng, Q Kong, X Zhang",2022,15,group B.csv
5.2,Core winding: force-flow oriented fibre reinforcement in additive manufacturing with concrete,"S Gantner, P Rennen, T Rothe, C Hühne…",2022,14,group B.csv
5.2,Current surveying methods for the integration of additive manufacturing in the construction process,"M Maboudi, M Gerke, N Hack…",2020,14,group B.csv
5.2,Automatic geometric inspection in digital fabrication,"K Mawas, M Maboudi, M Gerke",2022,14,group B.csv
5.2,"RoBétArmé Project: Human-robot collaborative construction system for shotcrete digitization and automation through advanced perception, cognition, mobility …","I Kostavelis, L Nalpantidis, R Detry…",2024,13,group B.csv
5.2,Interlayer reinforcement in shotcrete-3D-printing: the effect of accelerator dosage on the resulting bond behavior of integrated reinforcement bars,"N Freund, D Lowke",2022,13,group C.csv
5.2,The effect of curing conditions on the service life of 3D printed concrete formwork,"M Bekaert, K Van Tittelboom, G De Schutter",2023,12,group B.csv
5.2,In-process integration of reinforcement for construction elements during shotcrete 3D printing,"R Dörrie, M David, N Freund, D Lowke…",2023,12,group B.csv
5.2,Digital twinning in additive manufacturing-closing the digital-physical-digital loop by automated integration of captured geometric data into fabrication information …,"M Slepicka, K Mawas, A Borrmann, M Maboudi…",2022,11,group B.csv
5.2,Advanced manufacturing and materials for hydropower: Challenges and opportunities,"M Musa, L Ghobrial, C Sasthav, J Heineman…",2023,11,group B.csv
5.2,Optimizing the macrostructure of 3D-printed pipe surfaces to improve cleanability,"T Hanisch, M Joppa, V Eisenrauch, S Jacob…",2024,10,group B.csv
5.2,Precision manufacture of concrete parts using integrated robotic 3D printing and milling,"P Kinnell, J Dobranski, J Xu, W Wang, JT Kolawole…",2021,9,group B.csv
5.2,Hybrid metal 3D printing for selective polished surface,"SY Mak, KL Tam, CHB Yung, WFE Yau",2021,8,group B.csv
5.2,Comparison of Bending Properties of Sandwich Structures Using Conventional and 3D-Printed Core with Flax Fiber Reinforcement,"V Brejcha, M Böhm, T Holeček, M Jerman…",2025,7,group B.csv
5.2,A closed-loop workflow for quality inspection and integrated post-processing of 3D-printed concrete elements,"N Hack, C Jantzen, L Brohmann, M Gerke…",2022,6,group B.csv
5.2,Filament extraction in 3d printing of shotcrete walls from terrestrial laser scanner data,"K Mawas, M Maboudi, M Gerke",2023,6,group C.csv
5.2,Influence of material and process parameters on hardened state properties of shotcrete 3D-printed elements,"D Böhler, I Mai, N Freund, L Lachmayer…",2022,6,group C.csv
5.2,Automated Shotcrete: A More Sustainable Construction Technology,"G Isaac, P Nicholas, G Paul, N Pietroni…",2024,5,group B.csv
5.2,Impact printed structures: design systems and construction strategies,"K Chadha, L Vasey, A Kango…",2024,5,group B.csv
5.2,On the Effects of Additive Manufacturing on Affordable Housing Development: A Review,"M Bayat, S Kharel, J Li",2025,5,group B.csv
5.2,Recent developments in additive manufacturing equipment's and its processes,"G Angappan, S Sivaraj, M Mohankumar…",2024,5,group B.csv
5.2,Additive manufacturing of support structures,JR Cotrell,2021,5,group B.csv
5.2,Energy Efficiency and Sustainability of Additive Manufacturing as a Mass-Personalized Production Mode in Industry 5.0/6.0,"I Rojek, D Mikołajewski, J Kopowski, T Bednarek…",2025,5,group B.csv
5.2,Monitoring of 3D concrete printing quality through multi-view RGB-D images,"AMA Zaki, M Carnevale, H Giberti…",2024,4,group B.csv
5.2,Towards Lightweight Structure: Coupling Topology Optimization with Non-planar 3D Concrete Printing,"Y Lin, A Bayramvand, M Aghaei Meibodi",2024,4,group B.csv
5.2,From Digital to Real: Optimised and Functionally Integrated Shotcrete 3D Printing Elements for Multi-Storey Structures,"R Dörrie, S Gantner, FS Amiri, L Lachmayer, M David…",2025,4,group B.csv
5.2,"Additive Formwork: Examining Design, Fabrication Space and Resolution for Bespoke Concrete Elements","R Naboni, L Breseghello",2022,4,group B.csv
5.2,Distortion analysis of generatively designed hinge bracket using meso-scaled thermomechanical simulation with experimental validation,"T Taufek, YHP Manurung, S Akma…",2022,4,group B.csv
5.2,Can the Dimensional Optimisation of 3D FDM-Manufactured Parts Be a Solution for a Correct Design?,"A Neacșa, A Diniță, ȘV Iacob",2025,4,group B.csv
5.2,A Systematic Literature Review on Additive Manufacturing in the Context of Circular Economy. Sustainability 2021; 13: 6007,"S Ponis, E Aretoulaki, TN Maroutas, G Plakas…",2021,4,group B.csv
5.2,Vat Photopolymerisation additive manufacturing for pharmaceutical applications,"A Awad, X Xu, JJ Ong, A Goyanes, AW Basit",2023,4,group B.csv
5.2,Automated Reinforcement Integration in Shotcrete 3D Printing Through Green State Milling,"R Dörrie, H Kloft, B Sawicki, N Freund…",2024,4,group C.csv
5.2,Improving homogeneity of 3D-printed cementitious material distribution for radial toolpath,"M Li, Z Liu, JY Ho, TN Wong",2023,3,group B.csv
5.2,"Design, Robotic Fabrication and Augmented Construction of Low-Carbon Concrete Slabs Through Field-Based Reaction–Diffusion","R Naboni, A Zomparelli, A Kunic…",2023,3,group B.csv
5.2,Understanding the Placement Mechanism of Wet-Mix Shotcrete and the Influence of Material Properties,X Wang,2021,3,group B.csv
5.2,Digital Structural Design and Shotcrete 3D Printing Strategies for Lightweight Reinforced Concrete Beam-Grid Structures,"Y Xiao, N Hack, H Kloft",2022,3,group C.csv
5.2,Non-Planar Helical Path Generation Method for Laser Metal Deposition of Overhanging Thin-Walled Structures,"H Liu, F Xing",2024,3,group C.csv
5.2,Structural optimization and performance evaluation of Spain's 3D-printed concrete bridges using AI-based design approaches,WY Leong,2025,2,group B.csv
5.2,3D printing in facilities management: A systematic review toward smart and sustainable building operations,"MT Abid, SA Khan, M Koç",2025,2,group B.csv
5.2,Applications of Additive Manufacturing in Construction and Historic Building Restoration/Rehabilitation,FE Kaya,2021,2,group B.csv
5.2,Towards a digital twin of extrusion-based additive manufacturing: an experimentally validated numerical model of ironing process,"A Pricci, G Percoco",2025,2,group B.csv
5.2,Automation of postprocessing parts and materials creating using the selective laser sintering technology,"IK Romanova-Bolshakova, AS Filimonov…",2023,2,group B.csv
5.2,"Additive manufacturing with novel materials: Process, properties and applications","R Rajasekar, CM Priya, PS Kumar",2024,2,group B.csv
5.2,Preparation and properties of geopolymer matrix composites containing waste olivine sands from a metallurgical process,"E Furlani, A Rondinella, E Aneggi…",2022,2,group B.csv
5.2,Structural Evaluation of Shotcrete 3D Printing and Robotic Fiber Winding for Thin Shell Elements,"P Rennen, S Gantner, T Rothe, B Baz, S Nana…",2024,2,group C.csv
5.2,3D Concrete Printing in Construction Industry—A State of the Art,"H Sesetti, MV Lalithya, PG Kumar",2022,1,group B.csv
5.2,Evaluation of 3D Concrete Printing in the United Arab Emirates,AS Alchaar,2020,1,group B.csv
5.2,"Large Particle 3D Concrete Printing—A Green and Viable Solution. Materials 2021, 14, 6125","I Mai, L Brohmann, N Freund, S Gantner, H Kloft…",2021,1,group B.csv
5.2,Extrudate formation modelling and variable geometry nozzle system design for extrudate geometry control in 3D concrete printing,W Lao,2020,1,group B.csv
5.2,Enhancing surface quality in additive manufacturing applications: a micro-power float approach,"S Lei, JT Kolawole, J Dobrzanski, J Xu…",2024,1,group B.csv
5.2,Rheological and strength characterisation of limestone calcined clay cement 3D printed concrete,"KA Ibrahim, G van Zijl…",2022,1,group B.csv
5.2,"Portland 3D Printing of Portland Cement Pastes with Additions of Kaolin, Superplastificant, and Calcium Carbonate","LA Vergara, HA Colorado",2020,1,group B.csv
5.2,Properties of 3D Printed Concretes and Evaluation of Novel Nanoscale Inclusions for Their Enhancement,S Surehali,2025,1,group B.csv
5.2,Tolerance of lattice struts manufactured without supports via fused filament fabrication,"L Robles-Lorite, A García-Collado…",2025,1,group B.csv
5.2,Investigation on the Process Parameters of an Automated Wall Grinding Robotic System,"L Martua, MS Kurbanhusen",2022,1,group B.csv
5.2,"Manufacturing system for additive production of components, and method","H Lindemann, R Gerbers, N Nolte…",2023,1,group B.csv
5.2,Trajectory planning of collaborative robotic contact-based applications,"A Zaki, M AHMED",2023,1,group B.csv
5.2,Predicting the rheological properties of super-plasticized concrete using modeling techniques. Materials 2022; 15: 5208,"MN Amin, A Ahmad, K Khan, W Ahmad, S Ehsan…",2022,1,group B.csv
5.2,"Shotcrete 3D printed reinforced concrete beam: design, testing, and comparison against conventional cast reinforced concrete solution","B Sawicki, Z Chen, T Leusmann, H Kloft",2026,1,group C.csv
5.2,Robot-Guided End Effector for an Automated Finishing of Concrete Free-Form Surfaces,"M David, K Dröder",2024,0,group B.csv
5.2,Power floating plastic-state concrete for additive manufacturing applications,S Lei,2025,0,group B.csv
5.2,Study of Interlayer Adhesion and Development of Reinforcing Methods for 3D Concrete Printing,TA Marchment,2021,0,group B.csv
5.2,"A comprehensive review of 3D printing in construction: technology, materials, and digital workflow","PK Dubey, MC Maurya",2026,0,group B.csv
5.2,Variables Influencing the Performance of 3D Concrete Printing for Sustainable Construction: Current Status and Future Prospects,"BK Shukla, G Bharti, B Parashar, PK Sharma…",2025,0,group B.csv
5.2,Towards Smart Construction: Development of An Automated Small Scale 3D Concrete Printer,"AAM Musathik, MHM Ashfak, M Arif…",2025,0,group B.csv
5.2,Experimental data–driven framework for quality control of 3D-printed concrete permanent formworks,"TK Kim, S Oh, J Lee, S Choi, CS Shim",2025,0,group B.csv
5.2,WORK BREAKDOWN STRUCTURE AND CONSTRUCTION PROCESS FRAMEWORK FOR A HYBRID 3D-PRINTED MODULAR BUILDING,"D Mustika Sari, MA Berawi, D Gunawan Saroji, P Miraj…",2025,0,group B.csv
5.2,Exploration of the advancements and potential of 3DCP,"R Berweiler, S Saleh",2024,0,group B.csv
5.2,An additive manufacturing-oriented design approach for digital construction,"A Sahu, B Panda",2025,0,group B.csv
5.2,Multi Objective Parameters Optimisation of Kenaf Cementitious Composites Material for 3D Printing Applications,MSBA Bakar,2023,0,group B.csv
5.2,Low-clay soil as fine aggregate in 3D printed concrete: insights into fresh and hardened properties,"S Kumar, A Kumar, A Pundir, A Dwivedi…",2025,0,group B.csv
5.2,Diffusion of Innovation: A Systematic Literature Review of 3D Printing in Construction,"A Palazzo, U Michel-Schneider",2025,0,group B.csv
5.2,"Superplastificant, and Calcium","LA Vergara, HA Colorado",2020,0,group B.csv
5.2,Robotic knitcrete,"P Rennen, S Gantner, G Dielemans, L Bleker…",2023,0,group B.csv
5.2,Integration of Discrete Reinforcement Elements for Shotcrete 3D Printing of Complex Structures,"R Dörrie, M Megnet, M David, K Dröder…",2025,0,group B.csv
5.2,Application of 3D printing technology in prefabricated buildings,"D Yan, M Dou, J Yang, S Zou…",2023,0,group B.csv
5.2,Optimization of Printing Parameters Based on Computational Fluid Dynamics (CFD) for Uniform Filament Mass Distribution at Corners in 3D Cementitious …,"Z Liu, L Si, Y Liu, M Li, TN Wong",2025,0,group B.csv
5.2,Suction Anchors and Their Methods of Manufacture,JR Cotrell,2026,0,group B.csv
5.2,Civil Additive Manufacturing: Foundations and Frontiers of the Modern Construction Industry,"A Kaur, C Lee, S Kulkarni, M Code, U Chadha",2025,0,group B.csv
5.2,"Use of automated control machining tools for design, construction, and testing with hydraulic physical models","A Muralha, S Amaral, N Aido, R Jónatas…",2022,0,group B.csv
5.2,Additive manufacturing in skin systems: trends and future,"R Naboni¹, N Jakica",2021,0,group B.csv
5.2,3D Additive Construction,"EE Dikel, L Arbuckle",2024,0,group B.csv
5.2,Additive Manufacturing for the Circular,"K Chadha, A Dubor, E Cabay, Y Tayoun…",2024,0,group B.csv
5.2,A Design-To-Fabrication Workflow for 3D Printing Reinforced Architectural Beams and Façade Panels,"ZS Nwokediegwu, AO Bankole, SE Okiye",2025,0,group B.csv
5.2,Materials Today Sustainability,"S Qaidi, A Yahia, BA Tayeh, H Unis, R Faraj…",2022,0,group B.csv
5.2,Additive Manufacturing of Natural Materials as a Multidisciplinary Approach in Engineering Education,"HA Colorado, EI Gutierrez…",2022,0,group B.csv
5.2,Composition and production method for 3D printing construction material,"P Brevnov, G Kirsankina, P Nezhny…",2024,0,group B.csv
5.2,Challenges and Ethical Considerations in 3D Printing Technology,"T Mallamma, P Goudanavar, P Nayak…",2025,0,group B.csv
5.2,Experimental and Machine Learning Approaches to Comprehending Surface Characteristics and Mechanical Properties of Direct Metal Laser Sintering …,T Sakib,2023,0,group B.csv
5.2,"DESIGN, STRUCTURAL ANALYSIS, AND FABRICATION OF A PORTABLE CEMENT SPRAYING CHAMBER FOR CONSTRUCTION APPLICATIONS",AK Kundu,2025,0,group B.csv
5.2,Valorization of a hazardous waste with 3D-printing: Combination of kaolin clay and electric arc furnace dust from the steel making industry,"EF Ordoñez Ordoñez, HA Colorado Lopera…",2022,0,group B.csv
5.2,CCC 2022,"A Housing, B Everett, J Soto…",2022,0,group B.csv
5.2,TOLEGENOVA AIGERIM KAIRATOVNA,K Akmalaiuly,2025,0,group B.csv
5.2,"Toward a holistic approach for design for additive manufacturing: a perspective on challenges, practical insights, and research needs","A Kantaros, T Ganetsos, E Pallis…",2025,0,group B.csv
